dataset,method,seed,beta,selected_raw,final_m,anchor_m,D_anchor,T_D,val_mse,test_mse,quality_met,original_seconds,added_anchor_seconds,accounted_seconds,state,id_fallback,budget_exhausted,compact,calibration_seconds,final_constraint_ma
MNIST,proposed,123,1.0,6,6,64,0.02427723039899554,0.02670495343889509,0.022411734444754465,0.02202388550635098,True,743.2905471324921,0.0,743.2905471324921,SUCCESS,False,False,True,0.0,
MNIST,proposed,777,1.0,6,6,64,0.022899083974410078,0.025188992371851085,0.02243539771255182,0.022122164148862672,True,744.9798667430878,0.0,744.9798667430878,SUCCESS,False,False,True,0.0,
MNIST,proposed,2024,1.0,6,6,64,0.023515710947464925,0.025867282042211417,0.022447507897201853,0.02193109836708121,True,660.9651679992676,0.0,660.9651679992676,SUCCESS,False,False,True,0.0,
MNIST,proposed,31337,1.0,6,6,64,0.024017999765824295,0.026419799742406724,0.022243900532625163,0.021856735540896045,True,736.916511297226,0.0,736.916511297226,SUCCESS,False,False,True,0.0,
MNIST,proposed_minus_AU,42,1.0,6,6,64,0.023851687684351083,0.02623685645278619,0.022674509165238364,0.022301241504902744,True,690.6300055980682,0.0,690.6300055980682,SUCCESS,False,False,True,0.0,
MNIST,proposed_minus_AU,123,1.0,6,6,64,0.02427723039899554,0.02670495343889509,0.022411734444754465,0.02202388550635098,True,743.2905471324921,0.0,743.2905471324921,SUCCESS,False,False,True,0.0,
MNIST,proposed_minus_AU,777,1.0,6,6,64,0.022899083974410078,0.025188992371851085,0.02243539771255182,0.022122164148862672,True,744.9798667430878,0.0,744.9798667430878,SUCCESS,False,False,True,0.0,
MNIST,proposed_minus_AU,2024,1.0,6,6,64,0.023515710947464925,0.025867282042211417,0.022447507897201853,0.02193109836708121,True,660.9651679992676,0.0,660.9651679992676,SUCCESS,False,False,True,0.0,
MNIST,proposed_minus_AU,31337,1.0,6,6,64,0.024017999765824295,0.026419799742406724,0.022243900532625163,0.021856735540896045,True,736.916511297226,0.0,736.916511297226,SUCCESS,False,False,True,0.0,
MNIST,B4_plus_Q,42,1.0,10,10,64,0.023851687684351083,0.02623685645278619,0.02227104529555963,0.021972516533468857,True,193.43292236328125,0.0,193.43292236328125,SUCCESS,False,False,True,0.0,
MNIST,B4_plus_Q,123,1.0,10,10,64,0.02427723039899554,0.02670495343889509,0.022213239397321432,0.021771542296117663,True,164.06798148155212,0.0,164.06798148155212,SUCCESS,False,False,True,0.0,
MNIST,B4_plus_Q,777,1.0,10,10,64,0.022899083974410078,0.025188992371851085,0.02265717736069037,0.02221377521956048,True,184.76379323005676,0.0,184.76379323005676,SUCCESS,False,False,True,0.0,
MNIST,B4_plus_Q,2024,1.0,10,10,64,0.023515710947464925,0.025867282042211417,0.020839620784837372,0.02026402583738574,True,199.19554543495178,0.0,199.19554543495178,SUCCESS,False,False,True,0.0,
MNIST,B4_plus_Q,31337,1.0,10,10,64,0.024017999765824295,0.026419799742406724,0.020997278330277425,0.020562927661298892,True,209.3287148475647,0.0,209.3287148475647,SUCCESS,False,False,True,0.0,
MNIST,B6a_plus_Q,42,1.0,8,8,64,0.023851687684351083,0.02623685645278619,0.02116786972357302,0.020691342100805164,True,128.47601127624512,0.0,128.47601127624512,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_plus_Q,123,1.0,8,8,64,0.02427723039899554,0.02670495343889509,0.021275372874980072,0.020833733591092685,True,96.834139585495,0.0,96.834139585495,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_plus_Q,777,1.0,8,8,64,0.022899083974410078,0.025188992371851085,0.021768647485849807,0.021482282158468858,True,147.66974544525146,0.0,147.66974544525146,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_plus_Q,2024,1.0,8,8,64,0.023515710947464925,0.025867282042211417,0.02233706509337133,0.02197784195465296,True,118.9452645778656,0.0,118.9452645778656,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_plus_Q,31337,1.0,8,8,64,0.024017999765824295,0.026419799742406724,0.02203950531628667,0.02164341061131484,True,137.7078583240509,0.0,137.7078583240509,SUCCESS,False,False,True,4.144804000854492,
