
=== MNIST  beta 文脈=0.25  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=    8 (格子上 8) val_MSE=0.02365   232.4s SUCCESS
  B8_ard_vae   s=42     m=   14 (格子上 16) val_MSE=0.02202   204.9s SUCCESS
  B7_geco_l0   s=123    m=    8 (格子上 8) val_MSE=0.02386   246.6s SUCCESS
  B8_ard_vae   s=123    m=   14 (格子上 16) val_MSE=0.02211   186.1s SUCCESS
  B7_geco_l0   s=777    m=    9 (格子上 8) val_MSE=0.02365   230.3s SUCCESS
  B8_ard_vae   s=777    m=   15 (格子上 16) val_MSE=0.02216   178.1s SUCCESS
  B7_geco_l0   s=2024   m=    8 (格子上 8) val_MSE=0.02355   256.4s SUCCESS
  B8_ard_vae   s=2024   m=   14 (格子上 16) val_MSE=0.02205   191.0s SUCCESS
  B7_geco_l0   s=31337  m=    9 (格子上 8) val_MSE=0.02374   239.6s SUCCESS
  B8_ard_vae   s=31337  m=   14 (格子上 16) val_MSE=0.02193   198.8s SUCCESS

完了: 200 件 -> results/make49/stage7_b7b8.json
